,store,item,sales,day
,1,1,17,Tuesday
,1,1,6,Wednesday
,1,1,16,Thursday
,1,1,18,Friday
,1,1,17,Saturday
,1,1,14,Sunday
,1,1,5,Monday
,1,1,15,Tuesday
,1,1,12,Wednesday
,1,1,15,Thursday
,1,1,24,Friday
,1,1,27,Saturday
,1,1,33,Sunday
,1,1,9,Monday
,1,1,10,Tuesday
,1,1,25,Wednesday
,1,1,18,Thursday
,1,1,19,Friday
,1,1,28,Saturday
,1,1,29,Sunday
,1,1,6,Monday
,1,1,20,Tuesday
,1,1,21,Wednesday
,1,1,17,Thursday
,1,1,18,Friday
,1,1,22,Saturday
,1,1,13,Sunday
,1,1,8,Monday
,1,1,19,Tuesday
,1,1,14,Wednesday
,1,1,18,Thursday
,1,1,17,Friday
,1,1,21,Saturday
,1,1,22,Sunday
,1,1,15,Monday
,1,1,12,Tuesday
,1,1,11,Wednesday
,1,1,12,Thursday
,1,1,20,Friday
,1,1,17,Saturday
,1,1,33,Sunday
,1,1,16,Monday
,1,1,16,Tuesday
,1,1,15,Wednesday
,1,1,22,Thursday
,1,1,22,Friday
,1,1,12,Saturday
,1,1,28,Sunday
,1,1,16,Monday
,1,1,12,Tuesday
,1,1,18,Wednesday
,1,1,18,Thursday
,1,1,25,Friday
,1,1,24,Saturday
,1,1,18,Sunday
,1,1,17,Monday
,1,1,18,Tuesday
,1,1,19,Wednesday
,1,1,17,Thursday
,1,1,28,Friday
,1,1,20,Saturday
,1,1,29,Sunday
,1,1,18,Monday
,1,1,19,Tuesday
,1,1,23,Wednesday
,1,1,23,Thursday
,1,1,24,Friday
,1,1,28,Saturday
,1,1,24,Sunday
,1,1,10,Monday
,1,1,17,Tuesday
,1,1,9,Wednesday
,1,1,10,Thursday
,1,1,14,Friday
,1,1,16,Saturday
,1,1,11,Sunday
,1,1,13,Monday
,1,1,13,Tuesday
,1,1,14,Wednesday
,1,1,12,Thursday
,1,1,10,Friday
,1,1,16,Saturday
,1,1,13,Sunday
,1,1,14,Monday
,1,1,11,Tuesday
,1,1,15,Wednesday
,1,1,10,Thursday
,1,1,11,Friday
,1,1,19,Saturday
,1,1,18,Sunday
,1,1,8,Monday
,1,1,13,Tuesday
,1,1,16,Wednesday
,1,1,20,Thursday
,1,1,12,Friday
,1,1,15,Saturday
,1,1,17,Sunday
,1,1,9,Monday
,1,1,11,Tuesday
,1,1,12,Wednesday
,1,1,25,Thursday
,1,1,12,Friday
,1,1,20,Saturday
,1,1,22,Sunday
,1,1,13,Monday
,1,1,14,Tuesday
,1,1,19,Wednesday
,1,1,21,Thursday
,1,1,27,Friday
,1,1,22,Saturday
,1,1,25,Sunday
,1,1,12,Monday
,1,1,24,Tuesday
,1,1,26,Wednesday
,1,1,19,Thursday
,1,1,23,Friday
,1,1,22,Saturday
,1,1,25,Sunday
,1,1,19,Monday
,1,1,21,Tuesday
,1,1,24,Wednesday
,1,1,17,Thursday
,1,1,28,Friday
,1,1,24,Saturday
,1,1,33,Sunday
,1,1,18,Monday
,1,1,18,Tuesday
,1,1,8,Wednesday
,1,1,17,Thursday
,1,1,19,Friday
,1,1,30,Saturday
,1,1,26,Sunday
,1,1,16,Monday
,1,1,25,Tuesday
,1,1,26,Wednesday
,1,1,21,Thursday
,1,1,24,Friday
,1,1,25,Saturday
,1,1,25,Sunday
,1,1,16,Monday
,1,1,15,Tuesday
,1,1,24,Wednesday
,1,1,19,Thursday
,1,1,21,Friday
,1,1,37,Saturday
,1,1,31,Sunday
,1,1,14,Monday
,1,1,19,Tuesday
,1,1,30,Wednesday
,1,1,26,Thursday
,1,1,27,Friday
,1,1,22,Saturday
,1,1,30,Sunday
,1,1,21,Monday
,1,1,20,Tuesday
,1,1,16,Wednesday
,1,1,19,Thursday
,1,1,33,Friday
,1,1,24,Saturday
,1,1,27,Sunday
,1,1,5,Monday
,1,1,13,Tuesday
,1,1,12,Wednesday
,1,1,14,Thursday
,1,1,29,Friday
,1,1,12,Saturday
,1,1,14,Sunday
,1,1,14,Monday
,1,1,13,Tuesday
,1,1,18,Wednesday
,1,1,14,Thursday
,1,1,21,Friday
,1,1,23,Saturday
,1,1,14,Sunday
,1,1,10,Monday
,1,1,12,Tuesday
,1,1,19,Wednesday
,1,1,9,Thursday
,1,1,19,Friday
,1,1,21,Saturday
,1,1,17,Sunday
,1,1,10,Monday
,1,1,13,Tuesday
,1,1,14,Wednesday
,1,1,7,Thursday
,1,1,19,Friday
,1,1,13,Saturday
,1,1,17,Sunday
,1,1,4,Monday
,1,1,12,Tuesday
,1,1,15,Wednesday
,1,1,18,Thursday
,1,1,25,Saturday
,1,1,26,Sunday
,1,1,20,Monday
,1,1,28,Tuesday
,1,1,17,Wednesday
,1,1,22,Thursday
,1,1,19,Friday
,1,1,24,Saturday
,1,1,29,Sunday
,1,1,18,Monday
,1,1,18,Tuesday
,1,1,16,Wednesday
,1,1,16,Thursday
,1,1,32,Friday
,1,1,32,Saturday
,1,1,26,Sunday
,1,1,20,Monday
,1,1,21,Tuesday
,1,1,20,Wednesday
,1,1,30,Thursday
,1,1,25,Friday
,1,1,26,Saturday
,1,1,21,Sunday
,1,1,16,Monday
,1,1,13,Tuesday
,1,1,16,Wednesday
,1,1,25,Thursday
,1,1,18,Friday
,1,1,23,Saturday
,1,1,33,Sunday
,1,1,24,Monday
,1,1,22,Tuesday
,1,1,23,Wednesday
,1,1,23,Thursday
,1,1,22,Friday
,1,1,29,Saturday
,1,1,18,Sunday
,1,1,17,Monday
,1,1,19,Tuesday
,1,1,22,Wednesday
,1,1,18,Thursday
,1,1,26,Friday
,1,1,26,Saturday
,1,1,36,Sunday
,1,1,17,Monday
,1,1,22,Tuesday
,1,1,20,Wednesday
,1,1,19,Thursday
,1,1,21,Friday
,1,1,36,Saturday
,1,1,22,Sunday
,1,1,14,Monday
,1,1,18,Tuesday
,1,1,20,Wednesday
,1,1,18,Thursday
,1,1,26,Friday
,1,1,20,Saturday
,1,1,20,Sunday
,1,1,22,Monday
,1,1,27,Tuesday
,1,1,19,Wednesday
,1,1,13,Thursday
,1,1,11,Friday
,1,1,19,Saturday
,1,1,24,Sunday
,1,1,13,Monday
,1,1,10,Tuesday
,1,1,17,Wednesday
,1,1,15,Thursday
,1,1,7,Friday
,1,1,12,Saturday
,1,1,20,Sunday
,1,1,12,Monday
,1,1,23,Tuesday
,1,1,12,Wednesday
,1,1,10,Thursday
,1,1,15,Friday
,1,1,19,Saturday
,1,1,22,Sunday
,1,1,17,Monday
,1,1,18,Tuesday
,1,1,12,Wednesday
,1,1,20,Thursday
,1,1,21,Friday
,1,1,13,Saturday
,1,1,20,Sunday
,1,1,16,Monday
,1,1,10,Tuesday
,1,1,16,Wednesday
,1,1,21,Thursday
,1,1,24,Friday
,1,1,14,Saturday
,1,1,21,Sunday
,1,1,12,Monday
,1,1,18,Tuesday
,1,1,15,Wednesday
,1,1,20,Thursday
,1,1,19,Friday
,1,1,22,Saturday
,1,1,19,Sunday
,1,1,9,Monday
,1,1,23,Tuesday
,1,1,14,Wednesday
,1,1,24,Thursday
,1,1,23,Friday
,1,1,26,Saturday
,1,1,28,Sunday
,1,1,19,Monday
,1,1,17,Tuesday
,1,1,15,Wednesday
,1,1,26,Thursday
,1,1,22,Friday
,1,1,26,Saturday
,1,1,32,Sunday
,1,1,20,Monday
,1,1,23,Tuesday
,1,1,22,Wednesday
,1,1,28,Thursday
,1,1,20,Friday
,1,1,22,Saturday
,1,1,29,Sunday
,1,1,22,Monday
,1,1,24,Tuesday
,1,1,16,Wednesday
,1,1,21,Thursday
,1,1,18,Friday
,1,1,34,Saturday
,1,1,23,Sunday
,1,1,17,Monday
,1,1,23,Tuesday
,1,1,14,Wednesday
,1,1,21,Thursday
,1,1,19,Friday
,1,1,24,Saturday
,1,1,27,Sunday
,1,1,22,Monday
,1,1,16,Tuesday
,1,1,19,Wednesday
,1,1,22,Thursday
,1,1,25,Friday
,1,1,31,Saturday
,1,1,32,Sunday
,1,1,21,Monday
,1,1,29,Tuesday
,1,1,27,Wednesday
,1,1,25,Thursday
,1,1,22,Friday
,1,1,29,Saturday
,1,1,24,Sunday
,1,1,10,Monday
,1,1,14,Tuesday
,1,1,28,Wednesday
,1,1,15,Thursday
,1,1,19,Friday
,1,1,16,Saturday
,1,1,31,Sunday
,1,1,7,Monday
,1,1,20,Tuesday
,1,1,17,Wednesday
,1,1,18,Thursday
,1,1,17,Friday
,1,1,27,Saturday
,1,1,20,Sunday
,1,1,20,Monday
,1,1,13,Tuesday
,1,1,17,Wednesday
,1,1,14,Thursday
,1,1,16,Friday
,1,1,15,Saturday
,1,1,22,Sunday
,1,1,19,Monday
,1,1,7,Tuesday
,1,1,16,Wednesday
,1,1,12,Thursday
,1,1,6,Friday
,1,1,18,Saturday
,1,1,19,Sunday
,1,1,13,Monday
,1,1,16,Tuesday
,1,1,14,Wednesday
,1,1,19,Thursday
,1,1,15,Friday
,1,1,27,Saturday
,1,1,23,Sunday
,2,1,21,Tuesday
,2,1,25,Wednesday
,2,1,24,Thursday
,2,1,34,Friday
,2,1,25,Saturday
,2,1,25,Sunday
,2,1,20,Monday
,2,1,24,Tuesday
,2,1,23,Wednesday
,2,1,23,Thursday
,2,1,27,Friday
,2,1,29,Saturday
,2,1,22,Sunday
,2,1,27,Monday
,2,1,15,Tuesday
,2,1,14,Wednesday
,2,1,36,Thursday
,2,1,21,Friday
,2,1,29,Saturday
,2,1,35,Sunday
,2,1,15,Monday
,2,1,18,Tuesday
,2,1,23,Wednesday
,2,1,23,Thursday
,2,1,22,Friday
,2,1,23,Saturday
,2,1,18,Sunday
,2,1,23,Monday
,2,1,18,Tuesday
,2,1,20,Wednesday
,2,1,34,Thursday
,2,1,31,Friday
,2,1,23,Saturday
,2,1,17,Sunday
,2,1,15,Monday
,2,1,24,Tuesday
,2,1,28,Wednesday
,2,1,19,Thursday
,2,1,26,Friday
,2,1,35,Saturday
,2,1,41,Sunday
,2,1,21,Monday
,2,1,24,Tuesday
,2,1,18,Wednesday
,2,1,24,Thursday
,2,1,32,Friday
,2,1,29,Saturday
,2,1,30,Sunday
,2,1,19,Monday
,2,1,26,Tuesday
,2,1,24,Wednesday
,2,1,20,Thursday
,2,1,19,Friday
,2,1,23,Saturday
,2,1,18,Sunday
,2,1,13,Monday
,2,1,22,Tuesday
,2,1,17,Wednesday
,2,1,22,Thursday
,2,1,29,Friday
,2,1,24,Saturday
,2,1,20,Sunday
,2,1,11,Monday
,2,1,17,Tuesday
,2,1,16,Wednesday
,2,1,27,Thursday
,2,1,20,Friday
,2,1,26,Saturday
,2,1,19,Sunday
,2,1,12,Monday
,2,1,22,Tuesday
,2,1,23,Wednesday
,2,1,10,Thursday
,2,1,21,Friday
,2,1,18,Saturday
,2,1,24,Sunday
,2,1,10,Monday
,2,1,10,Tuesday
,2,1,15,Wednesday
,2,1,12,Thursday
,2,1,21,Friday
,2,1,24,Saturday
,2,1,18,Sunday
,2,1,7,Monday
,2,1,20,Tuesday
,2,1,11,Wednesday
,2,1,15,Thursday
,2,1,20,Friday
,2,1,18,Saturday
,2,1,24,Sunday
,2,1,20,Monday
,2,1,18,Tuesday
,2,1,21,Wednesday
,2,1,23,Thursday
,2,1,35,Friday
,2,1,31,Saturday
,2,1,34,Sunday
,2,1,26,Monday
,2,1,27,Tuesday
,2,1,28,Wednesday
,2,1,25,Thursday
,2,1,34,Friday
,2,1,28,Saturday
,2,1,31,Sunday
,2,1,28,Monday
,2,1,24,Tuesday
,2,1,22,Wednesday
,2,1,23,Thursday
,2,1,26,Friday
,2,1,33,Saturday
,2,1,31,Sunday
,2,1,28,Monday
,2,1,24,Tuesday
,2,1,35,Wednesday
,2,1,26,Thursday
,2,1,24,Friday
,2,1,38,Saturday
,2,1,26,Sunday
,2,1,22,Monday
,2,1,27,Tuesday
,2,1,27,Wednesday
,2,1,25,Thursday
,2,1,25,Friday
,2,1,35,Saturday
,2,1,30,Sunday
,2,1,20,Monday
,2,1,25,Tuesday
,2,1,27,Wednesday
,2,1,40,Thursday
,2,1,29,Friday
,2,1,28,Saturday
,2,1,37,Sunday
,2,1,24,Monday
,2,1,18,Tuesday
,2,1,22,Wednesday
,2,1,23,Thursday
,2,1,29,Friday
,2,1,31,Saturday
,2,1,33,Sunday
,2,1,23,Monday
,2,1,27,Tuesday
,2,1,32,Wednesday
,2,1,33,Thursday
,2,1,28,Friday
,2,1,28,Saturday
,2,1,42,Sunday
,2,1,28,Monday
,2,1,28,Tuesday
,2,1,33,Wednesday
,2,1,24,Thursday
,2,1,34,Friday
,2,1,32,Saturday
,2,1,32,Sunday
,2,1,18,Monday
,2,1,18,Tuesday
,2,1,16,Wednesday
,2,1,23,Thursday
,2,1,23,Friday
,2,1,20,Saturday
,2,1,23,Sunday
,2,1,20,Monday
,2,1,15,Tuesday
,2,1,17,Wednesday
,2,1,19,Thursday
,2,1,15,Friday
,2,1,17,Saturday
,2,1,20,Sunday
,2,1,17,Monday
,2,1,25,Tuesday
,2,1,23,Wednesday
,2,1,21,Thursday
,2,1,21,Friday
,2,1,17,Saturday
,2,1,27,Sunday
,2,1,22,Monday
,2,1,23,Tuesday
,2,1,24,Wednesday
,2,1,26,Thursday
,2,1,25,Friday
,2,1,23,Saturday
,2,1,19,Sunday
,2,1,23,Monday
,2,1,20,Tuesday
,2,1,20,Wednesday
,2,1,28,Thursday
,2,1,33,Friday
,2,1,25,Saturday
,2,1,33,Sunday
,2,1,21,Monday
,2,1,31,Tuesday
,2,1,20,Wednesday
,2,1,27,Thursday
,2,1,29,Friday
,2,1,45,Saturday
,2,1,35,Sunday
,2,1,29,Monday
,2,1,31,Tuesday
,2,1,22,Wednesday
,2,1,24,Thursday
,2,1,30,Friday
,2,1,38,Saturday
,2,1,34,Sunday
,2,1,14,Monday
,2,1,29,Tuesday
,2,1,29,Wednesday
,2,1,34,Thursday
,2,1,39,Friday
,2,1,34,Saturday
,2,1,29,Sunday
,2,1,23,Monday
,2,1,24,Tuesday
,2,1,41,Wednesday
,2,1,32,Thursday
,2,1,32,Friday
,2,1,39,Saturday
,2,1,29,Sunday
,2,1,28,Monday
,2,1,25,Tuesday
,2,1,25,Wednesday
,2,1,33,Thursday
,2,1,38,Friday
,2,1,29,Saturday
,2,1,42,Sunday
,2,1,23,Monday
,2,1,24,Tuesday
,2,1,32,Wednesday
,2,1,29,Thursday
,2,1,43,Friday
,2,1,25,Saturday
,2,1,35,Sunday
,2,1,24,Monday
,2,1,30,Tuesday
,2,1,23,Wednesday
,2,1,35,Thursday
,2,1,34,Friday
,2,1,30,Saturday
,2,1,32,Sunday
,2,1,20,Monday
,2,1,29,Tuesday
,2,1,24,Wednesday
,2,1,25,Thursday
,2,1,31,Friday
,2,1,38,Saturday
,2,1,39,Sunday
,2,1,27,Monday
,2,1,18,Tuesday
,2,1,24,Wednesday
,2,1,20,Thursday
,2,1,27,Friday
,2,1,20,Saturday
,2,1,22,Sunday
,2,1,21,Monday
,2,1,21,Tuesday
,2,1,19,Wednesday
,2,1,23,Thursday
,2,1,18,Friday
,2,1,16,Saturday
,2,1,23,Sunday
,2,1,15,Monday
,2,1,18,Tuesday
,2,1,21,Wednesday
,2,1,21,Thursday
,2,1,31,Friday
,2,1,17,Saturday
,2,1,14,Sunday
,2,1,13,Monday
,2,1,21,Tuesday
,2,1,19,Wednesday
,2,1,25,Thursday
,2,1,29,Friday
,2,1,19,Saturday
,2,1,29,Sunday
,2,1,22,Monday
,2,1,17,Tuesday
,2,1,25,Wednesday
,2,1,25,Thursday
,2,1,22,Saturday
,2,1,39,Sunday
,2,1,24,Monday
,2,1,24,Tuesday
,2,1,28,Wednesday
,2,1,27,Thursday
,2,1,33,Friday
,2,1,40,Saturday
,2,1,39,Sunday
,2,1,21,Monday
,2,1,40,Tuesday
,2,1,22,Wednesday
,2,1,31,Thursday
,2,1,28,Friday
,2,1,31,Saturday
,2,1,33,Sunday
,2,1,30,Monday
,2,1,18,Tuesday
,2,1,28,Wednesday
,2,1,37,Thursday
,2,1,25,Friday
,2,1,31,Saturday
,2,1,38,Sunday
,2,1,22,Monday
,2,1,24,Tuesday
,2,1,15,Wednesday
,2,1,30,Thursday
,2,1,26,Friday
,2,1,38,Saturday
,2,1,25,Sunday
,2,1,20,Monday
,2,1,27,Tuesday
,2,1,26,Wednesday
,2,1,34,Thursday
,2,1,38,Friday
,2,1,43,Saturday
,2,1,43,Sunday
,2,1,30,Monday
,2,1,21,Tuesday
,2,1,21,Wednesday
,2,1,20,Thursday
,2,1,43,Friday
,2,1,39,Saturday
,2,1,44,Sunday
,2,1,24,Monday
,2,1,22,Tuesday
,2,1,27,Wednesday
,2,1,25,Thursday
,2,1,42,Friday
,2,1,33,Saturday
,2,1,30,Sunday
,2,1,32,Monday
,2,1,32,Tuesday
,2,1,35,Wednesday
,2,1,30,Thursday
,2,1,44,Friday
,2,1,35,Saturday
,2,1,24,Sunday
,2,1,24,Monday
,2,1,26,Tuesday
,2,1,24,Wednesday
,2,1,27,Thursday
,2,1,17,Friday
,2,1,29,Saturday
,2,1,26,Sunday
,2,1,31,Monday
,2,1,20,Tuesday
,2,1,22,Wednesday
,2,1,18,Thursday
,2,1,27,Friday
,2,1,27,Saturday
,2,1,34,Sunday
,2,1,16,Monday
,2,1,22,Tuesday
,2,1,18,Wednesday
,2,1,25,Thursday
,2,1,29,Friday
,2,1,17,Saturday
,2,1,24,Sunday
,2,1,28,Monday
,2,1,16,Tuesday
,2,1,18,Wednesday
,2,1,25,Thursday
,2,1,20,Friday
,2,1,23,Saturday
,2,1,21,Sunday
,2,1,22,Monday
,2,1,19,Tuesday
,2,1,25,Wednesday
,2,1,25,Thursday
,2,1,33,Friday
,2,1,24,Saturday
,2,1,42,Sunday
,2,1,21,Monday
,2,1,28,Tuesday
,2,1,23,Wednesday
,2,1,36,Thursday
,2,1,47,Friday
,2,1,30,Saturday
,2,1,42,Sunday
,2,1,16,Monday
,2,1,37,Tuesday
,2,1,39,Wednesday
,2,1,33,Thursday
,2,1,32,Friday
,2,1,34,Saturday
,2,1,36,Sunday
,2,1,27,Monday
,2,1,29,Tuesday
,2,1,25,Wednesday
,2,1,20,Thursday
,2,1,38,Friday
,2,1,43,Saturday
,2,1,33,Sunday
,2,1,28,Monday
,2,1,37,Tuesday
,2,1,29,Wednesday
,2,1,43,Thursday
,2,1,28,Friday
,2,1,34,Saturday
,2,1,34,Sunday
,2,1,32,Monday
,2,1,22,Tuesday
,2,1,35,Wednesday
,2,1,35,Thursday
,2,1,33,Friday
,2,1,46,Saturday
,2,1,38,Sunday
,2,1,28,Monday
,2,1,28,Tuesday
,2,1,29,Wednesday
,2,1,28,Thursday
,2,1,32,Friday
,2,1,38,Saturday
,2,1,33,Sunday
,2,1,21,Monday
,2,1,32,Tuesday
,2,1,19,Wednesday
,2,1,28,Thursday
,2,1,34,Friday
,2,1,45,Saturday
,2,1,45,Sunday
,2,1,27,Monday
,2,1,41,Tuesday
,2,1,33,Wednesday
,2,1,41,Thursday
,2,1,38,Friday
,2,1,26,Saturday
,2,1,44,Sunday
,2,1,29,Monday
,2,1,36,Tuesday
,2,1,24,Wednesday
,2,1,31,Thursday
,2,1,31,Friday
,2,1,24,Saturday
,2,1,20,Sunday
,2,1,10,Monday
,2,1,14,Tuesday
,2,1,12,Wednesday
,2,1,21,Thursday
,2,1,27,Friday
,2,1,29,Saturday
,2,1,29,Sunday
,2,1,16,Monday
,2,1,20,Tuesday
,2,1,23,Wednesday
,2,1,18,Thursday
,2,1,25,Friday
,2,1,30,Saturday
,2,1,45,Sunday
,2,1,20,Monday
,2,1,16,Tuesday
,2,1,19,Wednesday
,2,1,21,Thursday
,2,1,28,Friday
,2,1,18,Saturday
,2,1,28,Sunday
,2,1,18,Monday
,2,1,25,Tuesday
,2,1,19,Wednesday
,2,1,21,Thursday
,2,1,18,Friday
,2,1,24,Saturday
,2,1,31,Sunday
,3,1,18,Tuesday
,3,1,20,Wednesday
,3,1,22,Thursday
,3,1,26,Friday
,3,1,11,Saturday
,3,1,31,Sunday
,3,1,25,Monday
,3,1,16,Tuesday
,3,1,20,Wednesday
,3,1,15,Thursday
,3,1,22,Friday
,3,1,23,Saturday
,3,1,20,Sunday
,3,1,14,Monday
,3,1,24,Tuesday
,3,1,16,Wednesday
,3,1,24,Thursday
,3,1,21,Friday
,3,1,25,Saturday
,3,1,18,Sunday
,3,1,13,Monday
,3,1,28,Tuesday
,3,1,16,Wednesday
,3,1,18,Thursday
,3,1,18,Friday
,3,1,24,Saturday
,3,1,23,Sunday
,3,1,16,Monday
,3,1,28,Tuesday
,3,1,12,Wednesday
,3,1,19,Thursday
,3,1,29,Friday
,3,1,20,Saturday
,3,1,34,Sunday
,3,1,20,Monday
,3,1,17,Tuesday
,3,1,13,Wednesday
,3,1,15,Thursday
,3,1,28,Friday
,3,1,18,Saturday
,3,1,31,Sunday
,3,1,20,Monday
,3,1,20,Tuesday
,3,1,20,Wednesday
,3,1,26,Thursday
,3,1,14,Friday
,3,1,27,Saturday
,3,1,22,Sunday
,3,1,13,Monday
,3,1,24,Tuesday
,3,1,18,Wednesday
,3,1,28,Thursday
,3,1,33,Friday
,3,1,18,Saturday
,3,1,33,Sunday
,3,1,23,Monday
,3,1,18,Tuesday
,3,1,18,Wednesday
,3,1,33,Thursday
,3,1,14,Friday
,3,1,22,Saturday
,3,1,21,Sunday
,3,1,12,Monday
,3,1,13,Tuesday
,3,1,14,Wednesday
,3,1,17,Thursday
,3,1,15,Friday
,3,1,15,Saturday
,3,1,19,Sunday
,3,1,11,Monday
,3,1,11,Tuesday
,3,1,14,Wednesday
,3,1,12,Thursday
,3,1,16,Friday
,3,1,23,Saturday
,3,1,14,Sunday
,3,1,18,Monday
,3,1,17,Tuesday
,3,1,10,Wednesday
,3,1,15,Thursday
,3,1,18,Friday
,3,1,18,Saturday
,3,1,16,Sunday
,3,1,14,Monday
,3,1,15,Tuesday
,3,1,23,Wednesday
,3,1,15,Thursday
,3,1,18,Friday
,3,1,16,Saturday
,3,1,19,Sunday
,3,1,7,Monday
,3,1,12,Tuesday
,3,1,24,Wednesday
,3,1,28,Thursday
,3,1,22,Friday
,3,1,20,Saturday
,3,1,32,Sunday
,3,1,13,Monday
,3,1,24,Tuesday
,3,1,26,Wednesday
,3,1,29,Thursday
,3,1,22,Friday
,3,1,26,Saturday
,3,1,29,Sunday
,3,1,19,Monday
,3,1,26,Tuesday
,3,1,15,Wednesday
,3,1,29,Thursday
,3,1,28,Friday
,3,1,40,Saturday
,3,1,30,Sunday
,3,1,13,Monday
,3,1,35,Tuesday
,3,1,14,Wednesday
,3,1,19,Thursday
,3,1,20,Friday
,3,1,16,Saturday
,3,1,21,Sunday
,3,1,21,Monday
,3,1,20,Tuesday
,3,1,20,Wednesday
,3,1,27,Thursday
,3,1,22,Friday
,3,1,26,Saturday
,3,1,29,Sunday
,3,1,14,Monday
,3,1,20,Tuesday
,3,1,22,Wednesday
,3,1,27,Thursday
,3,1,34,Friday
,3,1,25,Saturday
,3,1,22,Sunday
,3,1,22,Monday
,3,1,26,Tuesday
,3,1,25,Wednesday
,3,1,21,Thursday
,3,1,23,Friday
,3,1,32,Saturday
,3,1,32,Sunday
,3,1,23,Monday
,3,1,23,Tuesday
,3,1,28,Wednesday
,3,1,38,Thursday
,3,1,34,Friday
,3,1,26,Saturday
,3,1,22,Sunday
,3,1,22,Monday
,3,1,26,Tuesday
,3,1,27,Wednesday
,3,1,31,Thursday
,3,1,23,Friday
,3,1,27,Saturday
,3,1,28,Sunday
,3,1,14,Monday
,3,1,12,Tuesday
,3,1,14,Wednesday
,3,1,20,Thursday
,3,1,21,Friday
,3,1,19,Saturday
,3,1,16,Sunday
,3,1,15,Monday
,3,1,20,Tuesday
,3,1,11,Wednesday
,3,1,15,Thursday
,3,1,20,Friday
,3,1,23,Saturday
,3,1,22,Sunday
,3,1,17,Monday
,3,1,11,Tuesday
,3,1,28,Wednesday
,3,1,12,Thursday
,3,1,17,Friday
,3,1,26,Saturday
,3,1,21,Sunday
,3,1,16,Monday
,3,1,24,Tuesday
,3,1,15,Wednesday
,3,1,16,Thursday
,3,1,18,Friday
,3,1,20,Saturday
,3,1,25,Sunday
,3,1,12,Monday
,3,1,13,Tuesday
,3,1,11,Wednesday
,3,1,27,Thursday
,3,1,23,Friday
,3,1,27,Saturday
,3,1,26,Sunday
,3,1,19,Monday
,3,1,19,Tuesday
,3,1,21,Wednesday
,3,1,19,Thursday
,3,1,16,Friday
,3,1,29,Saturday
,3,1,30,Sunday
,3,1,12,Monday
,3,1,23,Tuesday
,3,1,24,Wednesday
,3,1,29,Thursday
,3,1,21,Friday
,3,1,25,Saturday
,3,1,42,Sunday
,3,1,16,Monday
,3,1,26,Tuesday
,3,1,14,Wednesday
,3,1,29,Thursday
,3,1,27,Friday
,3,1,14,Saturday
,3,1,31,Sunday
,3,1,23,Monday
,3,1,24,Tuesday
,3,1,20,Wednesday
,3,1,31,Thursday
,3,1,28,Friday
,3,1,31,Saturday
,3,1,30,Sunday
,3,1,16,Monday
,3,1,21,Tuesday
,3,1,32,Wednesday
,3,1,25,Thursday
,3,1,26,Friday
,3,1,29,Saturday
,3,1,39,Sunday
,3,1,23,Monday
,3,1,21,Tuesday
,3,1,27,Wednesday
,3,1,15,Thursday
,3,1,21,Friday
,3,1,24,Saturday
,3,1,38,Sunday
,3,1,24,Monday
,3,1,31,Tuesday
,3,1,27,Wednesday
,3,1,22,Thursday
,3,1,40,Friday
,3,1,28,Saturday
,3,1,37,Sunday
,3,1,25,Monday
,3,1,20,Tuesday
,3,1,16,Wednesday
,3,1,20,Thursday
,3,1,27,Friday
,3,1,42,Saturday
,3,1,35,Sunday
